abandon	放弃；抛弃
abstract	抽象的；摘要
academy	研究院；学院；学会
access	接近；入口
accommodate	容纳；给…提供住宿；使适应
accompany	陪伴；伴随
accumulate	积累
accurate	准确的
achieve	完成；取得
acknowledge	承认；致谢
acquire	获得
adapt	使适应；改编
adequate	足够的
adjacent	毗连的
adjust	调整
administer	管理
adult	成年人
advocate	拥护者；拥护
affect	影响
aggregate	总的；总计
aid	帮助
albeit	虽然
allocate	分派
alter	改变
alternative	替代物；替代的
ambiguous	模棱两可的
amend	修订
analogy	类似；类推
analyze	分析
annual	每年的；年鉴
anticipate	预料
apparent	明显的
append	附录
appreciate	欣赏；感激
approach	靠近；方法
appropriate	恰当的
approximate	近似的
arbitrary	任意的；专断的
area	面积；地区；领域
aspect	方面
assemble	集合；装配
assess	估价；评价
assign	分派
assist	援助
assume	假设；认为；承担
assure	保证
attach	贴；附加
attain	达到；获得
attitude	态度
attribute	归结于；性质
author	作者；创始人
authority	当局；权威
automate	使自动化
available	可得到的
aware	意识到的
behalf	利益
benefit	利益；津贴；有益
bias	偏见
bond	纽带；债券
brief	简短的
bulk	体积；大批
capable	能够的；有能力的
capacity	容量
category	种类；范畴
cease	停止
challenge	挑战
channel	海峡；频道
chapter	章
chart	图表
chemical	化学的；化学药品
circumstance	情况
cite	引用
civil	公民的；国内的
clarify	阐明
classic	名著；经典的
clause	条款；从句
code	代码；法典
coherent	连贯的
coincide	相符
collapse	倒塌
colleague	同事
commence	开始
comment	评论
commission	委任；委员会
commit	犯
commodity	日用品
communicate	交流
community	社区；界
compatible	兼容的
compensate	补偿
compile	编纂
complement	补充
complex	复杂的
component	组成部分
compound	化合物；复合词
comprehensive	综合的
comprise	构成
compute	计算
conceive	构思；怀孕
concentrate	浓缩；集中
concept	概念
conclude	下结论
concurrent	同时的
conduct	行为；指挥
confer	授予；协商
confine	限制
confirm	证实
conflict	冲突
conform	遵守；符合
consent	同意
consequent	必然的
considerable	相当大的
consist	组成
constant	不断的
constitute	构成
constrain	限制；强制
construct	建造
consult	咨询；请教；查阅
consume	消费；消耗
contact	接触；联系
contemporary	当代的；同代人
context	上下文；背景
contract	合同；收缩
contradict	矛盾
contrary	相反的
contrast	对比
contribute	贡献；捐献；投稿
controversy	争论
convene	召集
converse	相反的
convert	转化
convince	使信服
cooperate	合作
coordinate	协调
core	核心
corporate	公司的
correspond	通信；对应
couple	夫妇；两个
create	创造；产生
credit	信用；学分；功劳
criteria	标准
crucial	决定性的
culture	文化
currency	货币
cycle	骑自行车；循环
data	数据
debate	辩论
decade	十年
decline	下倾；下降；谢绝；下降
deduce	演绎
define	下定义；明确
definite	明确的
demonstrate	表明；演示；示威
denote	表示
deny	否定
depress	使沮丧
derive	起源
design	设计；图案
despite	尽管
detect	检测
deviate	偏离
device	装置；设计
devote	奉献；为…献身
differentiate	区分
dimension	尺寸；维
diminish	减少
discrete	分离的
discriminate	区别；歧视
displace	移置
display	展览；显示
dispose	处理
distinct	清晰的；独特的
distort	歪曲
distribute	分布
diverse	多样的
document	文件
domain	领域；域
domestic	国内的；家庭的
dominate	支配
draft	草稿；通风；起草
drama	戏剧
duration	持续时间
dynamic	有活力的
economy	经济；节约
edit	编辑
element	元素
eliminate	消除
emerge	出现
emphasis	强调
empirical	经验的
enable	使能够
encounter	遇到
energy	精力；能量
enforce	实施
enhance	增强
enormous	巨大的；大量的
ensure	保证
entity	实体
environment	环境
equate	使相等；使平等
equip	装备
equivalent	对等
erode	腐蚀
error	错误
establish	建立
estate	房地产
estimate	估计
ethic	伦理
ethnic	种族的
evaluate	评价
eventual	最后
evident	明显的
evolve	进化；演变
exceed	超过
exclude	排除
exhibit	展览
expand	扩大
expert	专家；熟练的
explicit	明晰的；详述的
exploit	剥削；利用
export	出口
expose	暴露；揭露
external	外部的
extract	取出；摘录
facilitate	使容易
factor	因素
feature	特征
federal	联邦的
fee	费
file	文件；锉
final	最后的
finance	财政
finite	有限的
flexible	灵活的
fluctuate	波动
focus	集中；焦点
format	格式
formula	公式
forthcoming	即将到来的
found	建立
foundation	建立；基础；基金会
framework	框架
function	功能；函数
fund	资金
fundamental	基本的
furthermore	此外
gender	性别
generate	产生
generation	一代；产生
globe	地球
goal	球门；目标
grade	等级；年级；成绩
grant	拨款；助学金
guarantee	保证
guideline	方针
hence	因此
hierarchy	等级制度
highlight	精华；强调
hypothesis	假设
identical	相同的
identify	识别
ideology	思想体系
ignorant	无知的
illustrate	举例说明；图解
image	图像；形象
immigrate	移民
impact	影响
implement	工具；执行
implicate	暗指
implicit	暗指
imply	暗指
impose	征收；强加
incentive	刺激
incidence	发生
incline	斜坡；使倾斜
income	收入
incorporate	合并
index	索引；指标
indicate	表明
individual	个人
induce	引起
inevitable	必然的
infer	推断
infrastructure	基础设施
inherent	固有的
inhibit	抑制
initial	最初的；词首的；首字母
initiate	开始
injure	使受伤
innovate	创新
input	输入
insert	插入；插页
insight	见识
inspect	视察
instance	例子
institute	研究所；学院
instruct	教；指示
integral	整体的；整的
integrate	使结合
integrity	诚信；完整
intelligent	聪明的
intense	强烈的
