abolition	废除
abundance	丰富
accord	一致
according	根据（后跟to）
accountable	应负责的
ace	（扑克牌里的）A；佼佼者
adjective	形容词
adverb	副词
advocacy	提倡
aerial	空中的
aeroplane	飞机
affluence	富裕
affluent	富裕的
aggression	侵略
air-conditioner	空调
air-conditioning	空调
aisle	过道
alert	警惕的；警报
allege	声称
alliance	联盟
ally	盟友
ambitious	有雄心的
amid	在…当中
amidst	在…当中
ancestry	祖先
anew	重新
angel	天使
apparatus	仪器
applause	掌声
appliance	器具
aptitude	天赋；能力
argumentative	论证的
armament	〈总称〉武器
arouse	激发
ashore	在岸上
ass	驴；傻瓜
asset	资产；优势
astronomical	天文的
atop	在…顶上
attentive	专心的
attic	阁楼
attorney	律师
audio	音频
auditorium	礼堂
authorise	授权
automobile	汽车
aviation	航空
await	等候
awe	敬畏
axe	斧头
axis	轴
backup	备份
backyard	后院
badge	徽章
bail	保释
bait	诱饵
ballot	投票
bang	猛击
banknote	钞票
bankrupt	破产
bankruptcy	破产
banner	旗帜
banquet	宴会
barrel	桶
batch	一批
battalion	营
beam	梁
beforehand	事先
beloved	心爱的
berry	浆果
best-seller	畅销书
best-selling	畅销的
bet	打赌
beverage	饮料
Bible	圣经
billionaire	亿万富翁
bin	箱
biochemical	生化的
biochemist	生物化学家
biographer	传记作家
biotechnology	生物技术
bitch	母狗；〈禁忌〉泼妇
blade	刀片
blast	爆炸
blend	混合
blonde	金发女郎
bloom	花；开花
blossom	花；开花
blueprint	蓝图
blur	模糊
boast	自夸；拥有
bold	大胆的
bolt	闩；螺栓
bondage	束缚
boomer	生育高峰出生的人
boost	提升
bowel	肠
bracket	支架
brag	自吹
brandy	白兰地酒
brass	黄铜
breadth	宽度
breakdown	故障
breed	饲养；品种
breeze	微风
bribe	贿赂
briefcase	公文包
brilliance	杰出
broker	经纪人
brow	眉毛
browse	浏览
brute	野兽；冷酷无情的人
bubble	泡沫
buck	〈口语〉美元
bucket	提桶
buckle	扣环
bud	花蕾
buddy	好友
bug	昆虫；【计算机】出错
bulb	灯泡
bull	公牛
bullet	子弹；项目符号
bulletin	布告
bully	欺负别人的人
bump	碰撞；减速路脊
bundle	一捆
bureau	局
bypass	旁道
bystander	旁观者
cabin	舱；小木屋
cabinet	内阁
cable	电缆
calendar	日历
calf	小牛，牛犊
calorie	卡路里
campus	校园
cane	竹杖；甘蔗
capita	人均（前跟per）
capitalism	资本主义
capitalist	资本主义的
capture	捕获
cardboard	纸板
career	职业生涯，事业
cargo	货物
cart	大车
cashier	收银员
cellar	地窖
cell-phone	〈口语〉手机
Celsius	摄氏度
cement	水泥
cereal	谷类
chairperson	主席
champagne	香槟酒
chaotic	混乱的
charitable	慈善的
charity	慈善；慈善机构
charm	魅力
charter	宪章
chase	追，追逐
cherish	珍惜
chill	寒冷
chimney	烟囱
chin	下巴
chip	芯片
cholesterol	胆固醇
chop	劈；大块
chore	苦差事
claim	宣称；索赔
clash	冲突
clerical	文书的
client	客户
cliff	悬崖
climax	高潮
cling	紧紧抓住
clip	剪短；片段
clockwise	顺时针地
clown	小丑
clue	线索
coarse	粗的；粗糙的
cock	公鸡；〈禁忌〉男性生殖器
cohesion	凝聚力；衔接
coil	线圈
collaborate	合作
colon	冒号；结肠
colony	殖民地
column	列
columnist	专栏作家
combat	战斗
comma	逗号
commonplace	司空见惯的
commune	公社
commute	通勤
compel	迫使
competent	能干的
complain	抱怨
complaint	投诉
compliance	遵守
complicate	使复杂
comply	遵守
comrade	同志；战友
conceal	藏
concerted	协调一致的
condense	压缩
confess	承认
confront	面对
Confucian	孔子的，儒家的
congress	国会
conjunction	连词
conquer	征服
conquest	征服
conscientious	认真的
consolidate	巩固
contaminate	使不干净，污染
contempt	蔑视
contend	争夺
contentious	争夺的
contest	比赛
contraction	收缩
cop	〈口语〉警察
cope	应对（后跟with）
copper	铜
copyright	版权
cord	绳
cornerstone	基石
corps	兵团
correspondent	记者
corridor	走廊
cosmic	宇宙的
cosmos	宇宙
costume	服装
couch	长沙发
council	委员会
counsel	谘询；律师
countdown	倒计时
counterpart	对应
county	县
coupon	优惠券
coward	懦夫
cowboy	牛仔
crab	螃蟹
crack	裂纹
cracker	饼干
craft	工艺
crane	鹤；起重机
crawl	爬行
craze	热，狂热
creditable	值得肯定的
creep	爬行
crisis	危机
critic	评论家
criticise	批评
criticism	批评
crocodile	鳄鱼
crown	王冠；花冠
cruise	邮轮
crush	压碎
crystal	水晶
cucumber	黄瓜
cue	提示
cultivate	耕作；陶冶
curb	遏制
curl	鬈发
current	当前的
curse	咒骂；骂人话
curve	曲线
cute	可爱的
dairy	奶制品
damn	〈口语〉倒霉!
darling	亲爱的
date	日期；约会
dean	（大学的）院长
decay	腐烂
deceit	欺骗
deceive	欺骗
decent	体面的
deception	欺骗
decisive	果断的
deck	甲板
deem	认为
defect	缺陷
defected	叛逃的
defendant	被告
defiance	违抗
defiant	违抗的
deficiency	缺乏
deficit	赤字
defy	违抗
delegate	会议代表
deliberated	深思熟虑的
democracy	民主
democrat	民主党党员
dense	稠密的
dent	凹陷
dental	牙科的
depart	离开
deputy	副的
descend	下降
descent	血统
desktop	桌面
despair	绝望
detail	细节
deteriorate	恶化
devil	魔鬼
devise	制定
dew	露水
diabetes	糖尿病
diagnose	诊断
diagnosis	诊断
dialect	方言
diameter	直径
digit	数字，数位
dignify	使有尊严
diligent	勤奋的
dim	昏暗的
dime	一毛钱
dine	就餐
diplomacy	外交
diplomat	外交官
disapprove	不赞成
discard	丢弃
discharge	排放
discipline	纪律
disco	迪斯科舞厅
disguise	伪装
disintegrate	瓦解
disorder	无秩序，混乱
dispute	争端
disrupt	扰乱
disruptive	破坏性的
dissolve	溶解
distract	使分散注意力
distress	痛苦；困境
ditch	沟
diversify	使多元化
divisive	导致分裂的
dock	码头
doctorate	博士学位
documentary	纪录片
dolphin	海豚
donkey	驴
donor	捐助者
doom	厄运
dose	剂量
dragon	龙
drain	下水道；排水
drainage	排水
drastic	猛烈的
drift	漂移
drip	滴
dropout	退出者；退学者
drought	干旱
drown	使淹死
drunkard	酒鬼
drunken	醉酒的
dual	双的
dumb	哑的
dump	丢弃
durable	耐用的
dye	染料
earnest	郑重其事的
ease	容易
easy-going	随和的
echo	回声
ecological	生态（学）的
efficient	高效的
elbow	肘
elective	选修课
electron	电子
elegance	优雅
elementary	基础的；小学的
elevate	使升高
elite	精英
embrace	拥抱
emit	发出
emotion	情感
emphatic	强调的
empire	帝国
empress	女皇；皇后
endurance	耐力
endure	忍耐
engage	参与
enlighten	启迪
enrich	丰富
enrol	报名
entitle	给（书等）取名；使有权
entrepreneur	企业家
entrepreneurial	企业家的
episode	（电视剧的）一集
era	时代
err	犯错
erroneous	错误的
essence	本质
essential	根本性的
eternal	永恒的
eternity	永恒
euro	欧元
eve	前夕
evil	邪恶；邪恶的；恶行
exaggerate	夸大
excel	擅长
excess	过剩的
exclaim	惊叹
excursion	游览
execute	执行
executive	行政的；常务的
exemplar	范例
exemplify	举例说明
exert	发挥
exhaust	使筋疲力尽；废气
exhaustion	筋疲力尽
exhaustive	详尽的
exile	流放
expanse	广阔
expansion	扩展
expel	驱逐
expend	花费
explosion	爆炸
expressway	高速公路
exterior	外观
extinguish	熄灭
eyebrow	眉
fable	寓言
fabric	织物
facility	设施
faculty	全体教师；特殊才能
faint	微弱的；晕倒
fairy	仙子
